release_year,metascore,userscore,metascore_count,platforms,userscore_count
2009,90.0,88.0,58,1,609
2012,90.0,80.0,77,1,311
2001,90.0,78.0,34,1,423
2020,90.0,89.0,8,2,936
2009,90.0,80.0,79,2,471
2003,90.0,88.0,46,1,535
2003,90.0,87.0,31,3,70
2011,90.0,70.0,69,6,448
2023,90.0,86.0,144,2,10387
2013,90.0,90.0,70,1,1603
2007,90.0,78.0,57,1,615
2000,90.0,65.0,22,3,56
2007,90.0,88.0,27,1,5759
2001,90.0,47.0,8,1,28
2023,90.0,76.0,9,1,68
2011,90.0,80.0,30,2,88
2018,90.0,88.0,30,1,804
2005,90.0,84.0,49,1,150
2001,90.0,88.0,35,1,759
2024,90.0,83.0,9,2,126
1999,90.0,84.0,14,1,443
2001,90.0,53.0,18,1,7
2000,90.0,90.0,28,2,1502
2003,90.0,86.0,41,1,62
2008,90.0,88.0,21,1,257
2001,90.0,84.0,45,1,138
2016,90.0,59.0,9,1,107
2007,90.0,90.0,21,1,2199
2018,90.0,90.0,28,2,5448
2009,90.0,71.0,27,3,20
2023,90.0,66.0,7,1,24
2008,90.0,88.0,47,1,752
2000,90.0,84.0,15,1,86
1997,90.0,81.0,12,1,70
2020,90.0,89.0,71,4,2745
2001,90.0,84.0,24,1,359
2024,90.0,76.0,87,2,3969
2023,90.0,82.0,44,3,1076
2010,90.0,80.0,89,7,1137
2004,90.0,69.0,31,4,9
2012,90.0,80.0,51,2,279
2011,90.0,86.0,83,3,1384
2010,90.0,79.0,51,6,619
2005,90.0,85.0,23,1,80
2004,90.0,90.0,54,3,312
2022,90.0,84.0,15,4,257
2012,90.0,88.0,44,5,493
2008,90.0,82.0,52,1,69
2007,90.0,85.0,62,1,506
2001,90.0,72.0,9,1,49
2010,90.0,81.0,70,1,3264
2018,90.0,78.0,93,3,2594
2002,90.0,86.0,33,3,202
2013,90.0,65.0,33,1,12484
2022,90.0,83.0,15,4,735
2011,90.0,83.0,82,1,1799
2005,90.0,79.0,7,1,26
2015,90.0,82.0,11,1,346
2011,90.0,83.0,31,1,232
2002,90.0,77.0,27,1,94
2007,90.0,79.0,66,1,222
2012,90.0,80.0,69,1,3362
2012,90.0,67.0,48,7,610
2018,90.0,78.0,56,2,628
2019,90.0,86.0,77,3,6852
2021,90.0,77.0,23,3,137
2006,90.0,85.0,26,1,77
2024,90.0,75.0,96,3,1152
2011,90.0,78.0,42,4,170
1996,90.0,86.0,7,2,477
2011,90.0,83.0,62,1,1571
1999,90.0,85.0,24,1,1433
2018,90.0,89.0,51,1,686
1999,90.0,80.0,14,1,34
2009,90.0,76.0,62,1,947
2016,90.0,61.0,8,1,57
2002,89.0,85.0,35,4,604
2018,90.0,88.0,27,1,546
2009,89.0,81.0,15,1,117
2010,89.0,87.0,40,5,784
2005,89.0,82.0,65,2,689
2012,89.0,81.0,59,4,1816
2015,89.0,92.0,37,3,4349
2015,89.0,89.0,82,1,1008
2004,89.0,89.0,50,1,477
2022,89.0,82.0,39,4,443
2005,89.0,87.0,63,3,400
2005,89.0,88.0,65,3,103
2005,89.0,88.0,37,1,39
2003,89.0,78.0,23,5,10
2020,89.0,89.0,92,1,1706
2000,89.0,85.0,31,1,165
1999,89.0,84.0,14,1,52
2019,89.0,85.0,65,3,542
2002,89.0,88.0,31,1,919
2012,89.0,88.0,14,3,4492
2001,89.0,86.0,39,3,318
2018,89.0,83.0,36,5,1273
2025,89.0,62.0,18,1,93
2008,89.0,84.0,41,2,36
2009,89.0,87.0,81,1,1698
2016,89.0,70.0,47,3,210
2002,89.0,75.0,25,3,4
1997,89.0,86.0,12,1,1724
2007,89.0,87.0,21,3,350
2008,89.0,79.0,95,1,972
2001,89.0,74.0,15,1,89
2015,89.0,84.0,71,1,2822
2025,89.0,83.0,7,1,21
2025,89.0,66.0,14,3,80
2009,89.0,82.0,76,2,1342
2008,89.0,79.0,67,2,759
2010,89.0,83.0,81,3,2086
2019,89.0,80.0,24,4,1237
2023,89.0,88.0,8,1,466
2016,89.0,88.0,69,3,6707
2016,89.0,85.0,61,3,3114
2004,89.0,65.0,18,1,13
2001,89.0,81.0,21,1,52
1996,89.0,78.0,8,1,277
2002,89.0,62.0,15,1,19
2005,89.0,83.0,84,3,143
2002,89.0,64.0,21,3,9
2003,89.0,88.0,50,1,281
2015,89.0,78.0,13,4,51
2011,89.0,85.0,66,2,2385
2021,89.0,86.0,122,1,1558
2022,89.0,87.0,122,1,1776
2002,89.0,83.0,31,4,233
2009,89.0,84.0,67,2,478
2005,89.0,76.0,41,3,20
2024,89.0,76.0,26,3,205
2022,89.0,76.0,6,1,15
2002,89.0,73.0,12,1,16
2005,89.0,88.0,56,1,700
2023,89.0,89.0,54,3,3457
2018,89.0,78.0,72,2,288
2023,89.0,85.0,89,3,2472
2012,89.0,65.0,66,5,469
2000,89.0,88.0,25,1,94
2003,89.0,59.0,16,3,8
2012,89.0,87.0,21,3,512
2005,89.0,82.0,53,1,339
2025,89.0,80.0,18,1,14
2010,89.0,84.0,25,2,90
2006,89.0,73.0,19,3,17
2001,89.0,85.0,22,1,130
2022,89.0,81.0,18,4,39
2021,89.0,84.0,56,2,2320
2014,89.0,71.0,8,1,59
2015,89.0,80.0,15,3,89
2001,89.0,89.0,32,4,2625
2018,89.0,90.0,7,2,664
2023,89.0,82.0,14,3,215
2019,89.0,89.0,102,1,3338
2022,89.0,87.0,34,1,508
2007,89.0,82.0,44,1,291
2005,89.0,85.0,52,1,235
2001,89.0,51.0,14,1,12
2025,89.0,87.0,147,1,3389
2024,89.0,75.0,27,3,450
2024,89.0,74.0,36,1,847
2024,89.0,85.0,96,3,899
2015,89.0,77.0,15,3,285
2004,89.0,77.0,72,3,1396
2022,89.0,86.0,38,4,395
2008,89.0,87.0,79,3,1103
2012,89.0,82.0,57,5,2819
2017,89.0,79.0,14,1,103
2003,89.0,0.0,22,2,3
2003,89.0,87.0,30,1,436
2003,89.0,80.0,18,1,40
1999,89.0,77.0,14,1,47
2019,89.0,66.0,28,4,2315
2022,89.0,74.0,22,1,108
2008,89.0,89.0,25,1,791
2011,89.0,91.0,50,2,571
2011,89.0,77.0,61,3,6240
1998,89.0,85.0,14,1,49
1997,89.0,89.0,9,1,439
2021,89.0,66.0,8,2,25
2012,89.0,86.0,7,1,393
2011,89.0,83.0,70,3,1138
2020,89.0,86.0,80,1,1474
2004,89.0,85.0,84,2,105
2002,89.0,84.0,27,1,558
2009,89.0,81.0,76,3,77
2005,89.0,92.0,74,1,1074
2005,89.0,75.0,55,2,55
2018,89.0,87.0,35,2,601
2000,89.0,80.0,14,1,92
2003,89.0,83.0,34,1,98
2011,89.0,79.0,83,2,1385
2007,89.0,86.0,70,1,575
2023,89.0,85.0,71,3,4078
2020,89.0,85.0,74,6,826
2009,89.0,78.0,32,3,162
2001,89.0,93.0,34,1,2288
2006,89.0,84.0,65,1,1108
2010,89.0,84.0,50,3,138
1999,89.0,77.0,14,1,169
2002,89.0,80.0,19,4,8
2012,89.0,77.0,15,1,65
2003,89.0,85.0,35,1,101
2021,89.0,84.0,30,5,1728
2010,89.0,85.0,66,1,754
2024,89.0,74.0,13,3,88
2016,89.0,88.0,30,5,3079
2025,89.0,87.0,77,3,4242
2022,89.0,80.0,115,2,5615
1998,89.0,82.0,11,1,91
1997,89.0,76.0,12,1,11
2001,89.0,80.0,22,2,47
2003,89.0,80.0,18,2,6
2020,89.0,85.0,34,2,1006
2017,89.0,83.0,115,1,13567
2008,88.0,77.0,68,3,339
2003,89.0,75.0,44,2,24
2020,88.0,86.0,17,3,461
2019,88.0,79.0,15,1,96
2025,88.0,71.0,107,3,1407
2025,88.0,83.0,4,1,74
2004,88.0,65.0,30,6,18
2003,88.0,78.0,22,1,34
2017,88.0,82.0,39,2,426
2005,88.0,81.0,56,1,73
2018,88.0,83.0,19,2,332
2000,88.0,91.0,9,1,392
2002,88.0,87.0,25,1,238
2000,88.0,85.0,24,1,40
2009,88.0,83.0,73,1,127
2017,88.0,84.0,65,4,1478
1999,88.0,86.0,18,1,92
2011,88.0,39.0,81,4,9608
2013,88.0,86.0,30,2,264
2013,88.0,86.0,7,1,197
2005,88.0,81.0,64,3,44
2012,88.0,82.0,56,3,2018
2020,88.0,75.0,25,5,341
2023,88.0,80.0,39,4,729
2002,88.0,82.0,29,3,218
2000,88.0,73.0,12,1,16
1999,88.0,89.0,20,1,762
2024,88.0,79.0,37,3,108
2000,88.0,69.0,24,2,8
2012,88.0,76.0,10,1,9
2014,88.0,89.0,82,1,2147
2010,88.0,81.0,93,3,1238
2009,88.0,80.0,52,2,31
2014,88.0,82.0,15,4,1010
2005,88.0,81.0,54,3,225
1997,88.0,87.0,16,1,369
2005,88.0,86.0,62,1,580
2011,88.0,83.0,24,3,846
2001,88.0,84.0,28,1,44
2015,88.0,86.0,85,2,1046
2005,88.0,84.0,57,3,1231
2008,88.0,73.0,41,3,27
1997,88.0,84.0,15,1,275
2000,88.0,91.0,21,1,431
2021,88.0,80.0,11,4,46
2016,88.0,80.0,55,1,2529
2016,88.0,83.0,24,3,892
2021,88.0,89.0,50,5,2875
2025,88.0,74.0,82,3,158
2017,88.0,88.0,101,2,4846
2005,88.0,79.0,49,1,51
2007,88.0,77.0,66,1,4521
2006,88.0,77.0,69,4,204
2024,88.0,82.0,27,2,158
2008,88.0,74.0,34,2,48
1998,88.0,89.0,15,1,1287
2002,88.0,83.0,20,1,39
2014,88.0,81.0,69,1,2179
2013,88.0,83.0,36,5,2807
2023,88.0,79.0,21,2,103
2003,88.0,92.0,23,1,2146
2025,88.0,90.0,33,3,390
